label_C004_pre_elegivel;c004_pre_elegivel;pre_elegivel;solteiro;label_C004;c004;vinc_fam_BPC
Pessoa responsável pelo domicílio ;1;1;1;Pessoa responsável pelo domicílio ;1;O PROPRIO
Pessoa responsável pelo domicílio ;1;0;1;Conjuge;2;ERRO
Pessoa responsável pelo domicílio ;1;0;1;Filho(a) do responsável e do cônjuge;4;FILHO
Pessoa responsável pelo domicílio ;1;0;1;Filho(a) somente do responsável;5;FILHO
Pessoa responsável pelo domicílio ;1;0;1;Enteado(a);6;ENTEADO
Pessoa responsável pelo domicílio ;1;0;1;Genro ou nora;7;ERRO
Pessoa responsável pelo domicílio ;1;0;1;Pai, mãe, padrasto ou madrasta;8;PAI/MÃE
Pessoa responsável pelo domicílio ;1;0;1;Sogro(a);9;NÃO ENTRA
Pessoa responsável pelo domicílio ;1;0;1;Neto(a);10;NÃO ENTRA
Pessoa responsável pelo domicílio ;1;0;1;Bisneto(a);11;NÃO ENTRA
Pessoa responsável pelo domicílio ;1;0;1;Irmão ou irmã;12;IRMAO/IRMA
Pessoa responsável pelo domicílio ;1;0;1;Avô ou avó;13;NÃO ENTRA
Pessoa responsável pelo domicílio ;1;0;1;Outros;20;NÃO ENTRA
Conjuge;2;0;1;Pessoa responsável pelo domicílio ;1;ERRO
Conjuge;2;1;1;Conjuge;2;ERRO
Conjuge;2;0;1;Filho(a) do responsável e do cônjuge;4;FILHO
Conjuge;2;0;1;Filho(a) somente do responsável;5;ENTEADO
Conjuge;2;0;1;Enteado(a);6;FILHO
Conjuge;2;0;1;Genro ou nora;7;ERRO
Conjuge;2;0;1;Pai, mãe, padrasto ou madrasta;8;NÃO ENTRA
Conjuge;2;0;1;Sogro(a);9;PAI/MÃE
Conjuge;2;0;1;Neto(a);10;NÃO ENTRA
Conjuge;2;0;1;Bisneto(a);11;NÃO ENTRA
Conjuge;2;0;1;Irmão ou irmã;12;NÃO ENTRA
Conjuge;2;0;1;Avô ou avó;13;NÃO ENTRA
Conjuge;2;0;1;Outros;20;AMBIGUO
Filho(a) do responsável e do cônjuge;4;1;1;Filho(a) do responsável e do cônjuge;4;O PROPRIO
Filho(a) do responsável e do cônjuge;4;0;1;Pessoa responsável pelo domicílio ;1;PAI/MÃE
Filho(a) do responsável e do cônjuge;4;0;1;Conjuge;2;PAI/MÃE
Filho(a) do responsável e do cônjuge;4;0;1;Filho(a) do responsável e do cônjuge;4;IRMAO/IRMA
